"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Position","Track.Name","Artist","Streams","URL"
"76",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,"audio_features","3B54sVLJ402zGa6Xm4YGNe","spotify:track:3B54sVLJ402zGa6Xm4YGNe","https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe","https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe",233902,4,76,"Unforgettable","French Montana",951418,"https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe"
"77",0.802,0.744,6,-5.968,1,0.078,0.0807,0,0.0917,0.45,99.983,"audio_features","2EzRdhuoPyNJDlep7lnNf2","spotify:track:2EzRdhuoPyNJDlep7lnNf2","https://api.spotify.com/v1/tracks/2EzRdhuoPyNJDlep7lnNf2","https://api.spotify.com/v1/audio-analysis/2EzRdhuoPyNJDlep7lnNf2",215083,4,77,"Dembow","Danny Ocean",950681,"https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2"
"78",0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,"audio_features","0CcQNd8CINkwQfe1RDtGV6","spotify:track:0CcQNd8CINkwQfe1RDtGV6","https://api.spotify.com/v1/tracks/0CcQNd8CINkwQfe1RDtGV6","https://api.spotify.com/v1/audio-analysis/0CcQNd8CINkwQfe1RDtGV6",204347,4,78,"Believer","Imagine Dragons",947478,"https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6"
"79",0.896,0.673,1,-3.872,1,0.139,0.346,0.0000128,0.206,0.714,131.99,"audio_features","4zWO4gvuFtw6EJZC5FFGlr","spotify:track:4zWO4gvuFtw6EJZC5FFGlr","https://api.spotify.com/v1/tracks/4zWO4gvuFtw6EJZC5FFGlr","https://api.spotify.com/v1/audio-analysis/4zWO4gvuFtw6EJZC5FFGlr",213989,4,79,"Bum Bum Tam Tam","MC Fioti",939885,"https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr"
"80",0.65,0.758,2,-4.02,1,0.116,0.166,0,0.0889,0.663,94.9,"audio_features","5HwnezK198pJCEj1l2Adjy","spotify:track:5HwnezK198pJCEj1l2Adjy","https://api.spotify.com/v1/tracks/5HwnezK198pJCEj1l2Adjy","https://api.spotify.com/v1/audio-analysis/5HwnezK198pJCEj1l2Adjy",177160,4,80,"She Loves Control","Camila Cabello",936278,"https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy"
"81",0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,"audio_features","6De0lHrwBfPfrhorm9q1Xl","spotify:track:6De0lHrwBfPfrhorm9q1Xl","https://api.spotify.com/v1/tracks/6De0lHrwBfPfrhorm9q1Xl","https://api.spotify.com/v1/audio-analysis/6De0lHrwBfPfrhorm9q1Xl",205715,4,81,"Me Rehúso","Danny Ocean",933163,"https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl"
"82",0.739,0.821,1,-4.233,1,0.0852,0.222,0.0000096,0.311,0.693,171.077,"audio_features","1m69ELEgE6k5ZWsap40ozt","spotify:track:1m69ELEgE6k5ZWsap40ozt","https://api.spotify.com/v1/tracks/1m69ELEgE6k5ZWsap40ozt","https://api.spotify.com/v1/audio-analysis/1m69ELEgE6k5ZWsap40ozt",188080,4,82,"Se Preparó","Ozuna",917098,"https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt"
"83",0.752,0.505,9,-7.621,1,0.253,0.535,0.00000255,0.104,0.419,91.97,"audio_features","1wjzFQodRWrPcQ0AnYnvQ9","spotify:track:1wjzFQodRWrPcQ0AnYnvQ9","https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9","https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9",197437,4,83,"I Like Me Better","Lauv",903101,"https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9"
"84",0.921,0.467,1,-8.443,1,0.119,0.0149,0.000238,0.334,0.287,135.995,"audio_features","3ncgNpxLoBQ65ABk4djDyd","spotify:track:3ncgNpxLoBQ65ABk4djDyd","https://api.spotify.com/v1/tracks/3ncgNpxLoBQ65ABk4djDyd","https://api.spotify.com/v1/audio-analysis/3ncgNpxLoBQ65ABk4djDyd",191252,4,84,"Pick It Up (feat. A$AP Rocky)","Famous Dex",897066,"https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd"
"85",0.884,0.346,8,-8.228,0,0.351,0.0151,0.00000704,0.0871,0.376,75.016,"audio_features","2fQrGHiQOvpL9UgPvtYy6G","spotify:track:2fQrGHiQOvpL9UgPvtYy6G","https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G","https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G",220307,4,85,"Bank Account","21 Savage",892942,"https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G"
"86",0.896,0.515,2,-5.395,1,0.183,0.0338,0,0.317,0.174,138.016,"audio_features","4wFjTWCunQFKtukqrNijEt","spotify:track:4wFjTWCunQFKtukqrNijEt","https://api.spotify.com/v1/tracks/4wFjTWCunQFKtukqrNijEt","https://api.spotify.com/v1/audio-analysis/4wFjTWCunQFKtukqrNijEt",303077,4,86,"MotorSport","Migos",884148,"https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt"
"87",0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,"audio_features","5yFSF6qQA1rcLsQRnBsZgb","spotify:track:5yFSF6qQA1rcLsQRnBsZgb","https://api.spotify.com/v1/tracks/5yFSF6qQA1rcLsQRnBsZgb","https://api.spotify.com/v1/audio-analysis/5yFSF6qQA1rcLsQRnBsZgb",199111,4,87,"All Falls Down","Alan Walker",879342,"https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb"
"88",0.774,0.626,3,-4.432,0,0.0432,0.0969,0.0000312,0.0848,0.777,100.041,"audio_features","4iLqG9SeJSnt0cSPICSjxv","spotify:track:4iLqG9SeJSnt0cSPICSjxv","https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv","https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv",211475,4,88,"Attention","Charlie Puth",875367,"https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv"
"89",0.543,0.677,11,-4.915,0,0.0993,0.0148,0.00000621,0.13,0.294,103.809,"audio_features","2rb5MvYT7ZIxbKW5hfcHx8","spotify:track:2rb5MvYT7ZIxbKW5hfcHx8","https://api.spotify.com/v1/tracks/2rb5MvYT7ZIxbKW5hfcHx8","https://api.spotify.com/v1/audio-analysis/2rb5MvYT7ZIxbKW5hfcHx8",189440,4,89,"Mi Gente","J Balvin",875291,"https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8"
"90",0.936,0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,"audio_features","43ZyHQITOjhciSUUNPVRHc","spotify:track:43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/tracks/43ZyHQITOjhciSUUNPVRHc","https://api.spotify.com/v1/audio-analysis/43ZyHQITOjhciSUUNPVRHc",124056,4,90,"Gucci Gang","Lil Pump",874797,"https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc"
"91",0.745,0.646,6,-6.987,0,0.17,0.157,0,0.338,0.46,79.993,"audio_features","2u7mxWSeoqTXndK5e08jMp","spotify:track:2u7mxWSeoqTXndK5e08jMp","https://api.spotify.com/v1/tracks/2u7mxWSeoqTXndK5e08jMp","https://api.spotify.com/v1/audio-analysis/2u7mxWSeoqTXndK5e08jMp",203908,4,91,"Nowadays (feat. Landon Cube)","Lil Skies",863556,"https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp"
"92",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,"audio_features","5uCax9HTNlzGybIStD3vDh","spotify:track:5uCax9HTNlzGybIStD3vDh","https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh","https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh",211467,4,92,"Say You Won't Let Go","James Arthur",863358,"https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh"
"93",0.629,0.572,5,-7.733,0,0.0387,0.57,0,0.192,0.386,100.015,"audio_features","5tz69p7tJuGPeMGwNTxYuV","spotify:track:5tz69p7tJuGPeMGwNTxYuV","https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV","https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV",250173,4,93,"1-800-273-8255","Logic",862433,"https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV"
"94",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,"audio_features","6RUKPb4LETWmmr3iAEQktW","spotify:track:6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW","https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW",247160,4,94,"Something Just Like This","The Chainsmokers",856880,"https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW"
"95",0.797,0.844,11,-5.482,1,0.275,0.0651,0,0.087,0.52,170.142,"audio_features","4dVpf9jZjcORqGTLUaeYj9","spotify:track:4dVpf9jZjcORqGTLUaeYj9","https://api.spotify.com/v1/tracks/4dVpf9jZjcORqGTLUaeYj9","https://api.spotify.com/v1/audio-analysis/4dVpf9jZjcORqGTLUaeYj9",173600,4,95,"Plain Jane","A$AP Ferg",852316,"https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9"
"96",0.704,0.633,11,-6.923,0,0.241,0.0214,0,0.29,0.863,144.021,"audio_features","3m660poUr1chesgkkjQM7P","spotify:track:3m660poUr1chesgkkjQM7P","https://api.spotify.com/v1/tracks/3m660poUr1chesgkkjQM7P","https://api.spotify.com/v1/audio-analysis/3m660poUr1chesgkkjQM7P",203760,4,96,"Sorry Not Sorry","Demi Lovato",844990,"https://open.spotify.com/track/3m660poUr1chesgkkjQM7P"
"97",0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,"audio_features","7krbSH3rd8lhIZvuzTV3Bl","spotify:track:7krbSH3rd8lhIZvuzTV3Bl","https://api.spotify.com/v1/tracks/7krbSH3rd8lhIZvuzTV3Bl","https://api.spotify.com/v1/audio-analysis/7krbSH3rd8lhIZvuzTV3Bl",234107,4,97,"Naked","James Arthur",826155,"https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl"
"98",0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,"audio_features","152lZdxL1OR0ZMW6KquMif","spotify:track:152lZdxL1OR0ZMW6KquMif","https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif","https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif",219080,4,98,"Location","Khalid",819484,"https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif"
"99",0.743,0.855,5,-3.976,0,0.0436,0.141,0.0045,0.099,0.871,96.989,"audio_features","7JNh1cfm0eXjqFVOzKLyau","spotify:track:7JNh1cfm0eXjqFVOzKLyau","https://api.spotify.com/v1/tracks/7JNh1cfm0eXjqFVOzKLyau","https://api.spotify.com/v1/audio-analysis/7JNh1cfm0eXjqFVOzKLyau",202453,4,99,"Mayores","Becky G",817436,"https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau"
"100",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,"audio_features","7m9OqQk4RVRkw9JJdeAw96","spotify:track:7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96","https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96",119133,4,100,"Jocelyn Flores","XXXTENTACION",816552,"https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96"
